"code_lac" "camp_annee" "nb_id_campagne" "nb_id_point_prelev" "nb_id_prelev_poisson"
"LGM27" "2012" "1" "8" "8"
"LGM39" "2005" "1" "24" "24"
"LIE52" "2009" "1" "24" "24"
"LIE52" "2015" "1" "24" "24"
"LKW68" "2009" "1" "24" "24"
"LKW68" "2015" "1" "24" "24"
"LON88" "2010" "1" "32" "32"
"LON88" "2016" "1" "32" "32"
"LOU64" "2011" "1" "24" "24"
"LOU64" "2017" "1" "24" "24"
"LPC38" "2007" "1" "24" "24"
"LPC38" "2013" "1" "24" "24"
"LRO39" "2008" "1" "24" "24"
"LRO39" "2014" "1" "24" "24"
"LSF43" "2012" "1" "8" "8"
"LSG81" "2013" "1" "32" "32"
"LUN32" "2009" "1" "40" "40"
"LUN32" "2016" "1" "40" "40"
"MAD55" "2006" "1" "32" "32"
"MAD55" "2011" "1" "32" "32"
"MAD55" "2017" "1" "32" "32"
"mars-35" "2007" "1" "13" "13"
"MAU12" "2008" "1" "36" "36"
"MAU12" "2015" "1" "40" "40"
"MEO23" "2008" "1" "8" "8"
"MER85" "2007" "1" "24" "24"
"MIC68" "2010" "1" "24" "24"
"MIC68" "2016" "1" "24" "24"
"MIE32" "2005" "1" "8" "8"
"MIE32" "2014" "1" "22" "22"
"MIE32" "2017" "1" "24" "24"
"MON38" "2009" "1" "59" "59"
"MON38" "2017" "1" "59" "59"
"MON63" "2005" "1" "16" "16"
"MON63" "2012" "1" "14" "14"
"MON71" "2008" "1" "24" "24"
"MON71" "2013" "1" "21" "21"
"MON71" "2018" "1" "24" "24"
"MON74" "2006" "1" "16" "16"
"MOT73" "2012" "1" "8" "8"
"MOU52" "2008" "1" "16" "16"
"MUN67" "2009" "1" "16" "16"
"MUN67" "2015" "1" "16" "16"
"NAN01" "2008" "1" "40" "40"
"NAN01" "2013" "1" "40" "40"
"NAR39" "2018" "1" "28" "28"
"NAU48" "2012" "1" "50" "50"
"NDC38" "2008" "1" "40" "40"
"ORX40" "2010" "1" "8" "8"
"OSP2A" "2009" "1" "24" "24"
"OSP2A" "2014" "1" "24" "24"
"OUE35" "2010" "1" "16" "16"
"PAL07" "2012" "1" "22" "22"
"PAL38" "2011" "1" "48" "48"
"PAL38" "2017" "1" "48" "48"
"PAN21" "2008" "1" "24" "24"
"PAR12" "2013" "1" "56" "56"
"PAR40" "2008" "1" "56" "56"
"PAR40" "2015" "1" "56" "56"
"PAR54" "2008" "1" "16" "16"
"PAR54" "2014" "1" "16" "16"
"PAV63" "2005" "1" "32" "32"
"PAV63" "2012" "1" "32" "32"
"PAV63" "2018" "1" "32" "32"
"PDF44" "2010" "1" "3" "3"
"PET38" "2008" "1" "24" "24"
"PET38" "2015" "1" "24" "24"
"PIR03" "2010" "1" "19" "19"
"PLA13" "2008" "1" "16" "16"
"PON21" "2011" "1" "24" "24"
"POR74" "2007" "1" "8" "8"
"POU31" "2011" "1" "16" "16"
"POU31" "2015" "1" "16" "16"
"POU43" "2011" "1" "16" "16"
"PPE14" "2008" "1" "24" "24"
"PPE14" "2016" "1" "24" "24"
"PRA33" "2009" "1" "16" "16"
"PRA66" "2006" "1" "16" "16"
"PRO44" "2010" "1" "8" "8"
"PUI18" "2011" "1" "16" "16"
"PUI18" "2018" "1" "16" "16"
"PUY48" "2008" "1" "32" "32"
"QUI04" "2011" "1" "40" "40"
"RAB61" "2009" "1" "24" "24"
"RAB61" "2017" "1" "24" "24"
"RAV34" "2011" "1" "48" "48"
"RAV34" "2017" "1" "48" "48"
"RBJ35" "2009" "1" "24" "24"
"RBO63" "2014" "1" "56" "56"
"RCB01" "2010" "1" "32" "32"
"RCE35" "2009" "1" "24" "24"
"RCM01" "2008" "1" "24" "24"
"RCS70" "2011" "1" "32" "32"
"RDC23" "2008" "1" "16" "16"
"RDV35" "2009" "1" "32" "32"
"REA13" "2008" "1" "16" "16"
"REM25" "2009" "1" "32" "32"
"REM25" "2016" "1" "32" "32"
"RFB63" "2006" "1" "40" "40"
"RFB63" "2013" "1" "58" "58"
"RGL69" "2008" "1" "16" "16"
"RIC54" "2005" "1" "14" "14"
"RIC54" "2006" "1" "24" "24"
"RIN53" "2010" "1" "7" "7"
"RIV35" "2008" "1" "16" "16"
"RKU22" "2008" "1" "24" "24"
"RLB11" "2008" "1" "24" "24"
"RMC73" "2011" "1" "55" "55"
"RMN29" "2008" "1" "16" "16"
"RMP85" "2009" "1" "24" "24"
"ROC03" "2010" "1" "40" "40"
"ROC03" "2016" "1" "40" "40"
"ROC85" "2009" "1" "25" "25"
"ROC85" "2011" "1" "24" "24"
"RPR71" "2008" "1" "24" "24"
"RSM87" "2013" "1" "40" "40"
"RST35" "2009" "1" "32" "32"
"RSV34" "2008" "1" "24" "24"
"RTN71" "2006" "1" "25" "25"
"RTN71" "2010" "1" "21" "21"
"RTV71" "2008" "1" "24" "24"
"RVH22" "2009" "1" "32" "32"
"SAL34" "2016" "1" "48" "48"
"SAR15" "2008" "1" "56" "56"
"SAU38" "2009" "1" "50" "50"
"SAU38" "2015" "1" "57" "57"
"SCA83" "2007" "1" "50" "50"
"SCA83" "2013" "1" "50" "50"
"SCR04" "2009" "1" "64" "64"
"SCR04" "2013" "1" "64" "64"
"SDB01" "2018" "1" "16" "16"
"SEC15" "2008" "1" "58" "58"
"SEC15" "2016" "1" "58" "58"
"SEI10" "2008" "1" "40" "40"
"SEI10" "2013" "1" "40" "40"
"SER63" "2012" "1" "15" "15"
"SET58" "2012" "1" "32" "32"
"SET58" "2018" "1" "40" "40"
"SFP53" "2006" "1" "16" "16"
"SID18" "2009" "1" "32" "32"
"SID18" "2016" "1" "32" "32"
"SIL85" "2009" "1" "24" "24"
"SIL85" "2011" "1" "24" "24"
"SMI29" "2006" "1" "24" "24"
"SOR71" "2008" "1" "24" "24"
"SOR71" "2015" "1" "24" "24"
"SOU40" "2005" "1" "11" "11"
"SOU40" "2012" "1" "12" "12"
"SPA87" "2012" "1" "40" "40"
"SPO04" "2011" "1" "68" "68"
"SPO04" "2017" "1" "64" "64"
"SPO25" "2009" "1" "50" "50"
"SPO25" "2015" "1" "42" "42"
"STO57" "2012" "1" "24" "24"
"STO57" "2018" "1" "24" "24"
"SYL01" "2008" "1" "16" "16"
"SYL01" "2014" "1" "24" "24"
"TAI40" "2011" "1" "8" "8"
"TAI40" "2016" "1" "8" "8"
"TOL2A" "2007" "1" "40" "40"
"TOL2A" "2013" "1" "40" "40"
"TOL2A" "2018" "1" "40" "40"
"TOR82" "2011" "1" "16" "16"
"TOR82" "2016" "1" "16" "16"
"TOU27" "2008" "1" "16" "16"
"TOU79" "2007" "1" "40" "40"
"TOU79" "2010" "1" "40" "40"
"TOU79" "2016" "1" "40" "40"
"TRA02" "2012" "1" "16" "16"
"TRE19" "2010" "1" "24" "24"
"TRI19" "2009" "1" "40" "40"
"TSC32" "2010" "1" "16" "16"
"TSC32" "2015" "1" "8" "8"
"UBY32" "2010" "1" "16" "16"
"UBY32" "2016" "1" "16" "16"
"VAL39" "2010" "1" "24" "24"
"VAL39" "2013" "1" "24" "24"
"VAL39" "2016" "1" "24" "24"
"VAL45" "2007" "1" "10" "10"
"VAL45" "2012" "1" "16" "16"
"VAS87" "2013" "1" "48" "48"
"VAU58" "2012" "1" "16" "16"
"VEN27" "2012" "1" "16" "16"
"VEZ50" "2010" "1" "40" "40"
"VFO08" "2008" "1" "24" "24"
"VFO08" "2014" "1" "16" "16"
"VIG59" "2010" "1" "8" "8"
"VIG59" "2017" "1" "8" "8"
"VIL12" "2010" "1" "32" "32"
"VIL12" "2015" "1" "32" "32"
"VIL42" "2006" "1" "45" "45"
"VIL42" "2013" "1" "48" "48"
"VIL52" "2013" "1" "24" "24"
"VIN66" "2009" "1" "40" "40"
"VIO44" "2006" "1" "16" "16"
"VOU39" "2008" "1" "68" "68"
"VOU39" "2014" "1" "68" "68"
"VSM77" "2010" "1" "24" "24"
"VVE70" "2008" "1" "16" "16"
"ZOL13" "2009" "1" "8" "8"
