"cd.lac","lat_plando","long_plando"
"RLB11",43.4185,2.27565
"RMC73",45.237,6.93081
"RMN29",47.8946,-4.23987
"RMP85",46.7048,-1.40468
"ROC03",46.2308,2.51468
"ROC85",46.7039,-0.954663
"RPR71",46.9223,4.47357
"RSM87",45.9411,1.5
"RST35",48.0186,-1.98269
"RSV34",43.5584,2.79661
"RTN71",46.7769,4.4395
"RTV71",46.786,4.46636
"RVH22",48.4627,-2.31675
"SAL34",43.6553,3.36617
"SAR15",44.8646,2.82972
"SAU38",44.807,5.93255
"SCA83",43.5847,6.80666
"SCR04",43.7661,6.18581
"SDB01",46.2118,5.16368
"SEC15",44.9224,2.24307
"SEI10",48.2766,4.33468
"SER63",45.6456,2.85963
"SET58",47.1822,4.06667
"SFP53",48.3775,-0.598955
"SID18",46.4987,2.32882
"SIL85",46.6636,-1.15473
"SMI29",48.3576,-3.89546
"SOR71",46.7324,4.35346
"SOU40",43.7728,-1.32352
"SPA87",46.0385,1.28633
"SPO04",44.5055,6.35202
"SPO25",46.8156,6.31377
"STO57",48.7545,6.92754
"SYL01",46.1615,5.664
"TAI40",43.9402,-0.148381
"TOL2A",41.9691,8.9752
"TOR82",44.0146,1.46002
"TOU27",49.3615,0.488669
"TOU79",46.4785,-0.207968
"TRA02",49.6809,3.37642
"TRE19",45.5647,1.82293
"TRI19",45.3992,2.29117
"TSC32",43.6887,1.00651
"UBY32",43.9366,-0.0420855
"VAL39",46.6256,5.81578
"VAL45",47.9622,2.28653
"VAS87",45.7983,1.87682
"VAU58",47.1846,3.60774
"VEN27",49.2113,1.29151
"VEZ50",48.5716,-1.1923
"VFO08",49.8689,4.60599
"VIG59",50.3447,3.50061
"VIL12",44.1049,2.69568
"VIL42",45.9256,4.06102
"VIL52",47.7467,5.31323
"VIN66",42.651,2.52388
"VIO44",47.5265,-1.42506
"VOU39",46.4797,5.68427
"VSM77",48.863,2.62505
"VVE70",47.6355,6.1168
"ZOL13",43.5332,5.51465
