species_code;species;size_min;size_max;stage;light;det;biof;phytob;macroph;phytopl;zoopl;zoob;fish;ref_diet;ref_ods;hypoth_ods;remark
CHE;Leuciscus_cephalus;0;12.5;1;0;0;0;0;0;1;1;0;0;Garner1996;Garner1996;maximum size hypoth;OK
CHE;Leuciscus_cephalus;12.6;20.3;2;0;0;0;0;0;0;0;1;0;Garner1996;NA;larvae hypoth;no info on LJ ods 
CHE;Leuciscus_cephalus;20.4;149;3;0;0;1;1;0;0;0;1;0;Nunn2012;Mann1976/Caffrey2008;minimum size hypoth;OK
CHE;Leuciscus_cephalus;150;299.9;4;0;0;1;1;1;0;0;1;1;Mann1976/Piria2005;Caffrey2008;minimum size hypoth;OK
CHE;Leuciscus_cephalus;300.0;max;5;0;1;1;1;1;0;0;1;1;Caffrey2008/Piria2005;NA;NA;OK
IDE;Leuciscus_idus;0;19.9;1;0;0;0;0;0;0;1;0;0;NA;NA;larvae hypoth;no info on early diet/no info on ods
IDE;Leuciscus_idus;20.0;max;2;0;1;0;1;0;0;1;1;1;Brabrand1985/fishbase;NA;NA;no info on early diet/no info on ods/oportunistic piscivore
VAN;Leuciscus_leuciscus;0;20.1;1;0;0;0;0;0;0;1;0;0;Weatherley1987;Weatherley1987;maximum size hypoth;OK
VAN;Leuciscus_leuciscus;20.2;30.5;2;0;1;0;0;0;1;0;1;0;Nunn2012/Nunn2007/Weatherley1987;Weatherley1987;minimum size hypoth;OK
VAN;Leuciscus_leuciscus;30.6;44.5;3;0;1;0;1;0;1;0;1;0;Nunn2012/Nunn2007/Weatherley1987;;maximum size hypoth;OK
VAN;Leuciscus_leuciscus;44.6;max;4;0;1;0;1;0;0;0;1;0;Weatherley1987;NA;NA;OK
PAP;Pachychilon_pictus;0;19.9;1;0;0;0;0;0;0;1;0;0;NA;NA;larvae hypoth;unknown
PAP;Pachychilon_pictus;20;max;2;0;0;0;1;0;0;0;1;0;Fishbase;NA;NA;unknown
VAI;Phoxinus_phoxinus;0;max;1;0;0;0;0;0;0;1;1;0;Nunn2012/Fishbase;Nunn2012/Fishbase;litterature;no ods
PSR;Pseudorasbora_parva;0;24.9;1;0;0;0;0;0;0;1;0;0;Declerck2002;Declerck2002;maximum size hypoth;OK
PSR;Pseudorasbora_parva;25;max;2;0;0;0;0;0;0;0;1;0;Nunn2012/Declerck2002;NA;NA;OK
BOU;Rhodeus_amarus;0;19.9;1;0;0;0;0;0;0;1;0;0;NA;NA;larvae hypoth;no info on early diet/no info on ods
BOU;Rhodeus_amarus;20;max;2;0;1;0;1;0;1;0;1;0;Fishbase/Folia2006;NA;NA;no info on early diet/no info on ods
GAR;Rutilus_rutilus;0.0;15;1;0;0;0;0;0;0;1;0;0;Specziar2009;Specziar2009;litterature;OK
GAR;Rutilus_rutilus;16;41;2;0;0;0;0;0;1;1;1;0;Specziar2009;Specziar2009;litterature;OK
GAR;Rutilus_rutilus;41;120;3;0;1;0;0;0;1;0;0;0;Specziar2009;Specziar2009;litterature;OK
GAR;Rutilus_rutilus;121;max;4;0;0;0;1;1;0;0;1;0;Specziar2009;NA;NA;OK
ROT;Scardinius_erythrophtalmus;0;21;1;0;0;0;0;0;0;1;0;0;Specziar2009;Specziar2009;litterature;OK
ROT;Scardinius_erythrophtalmus;21.1;max;2;0;0;0;1;1;1;0;1;0;Specziar2009/Nunn2012;NA;NA;OK
BLN;Telestes_souffia;0;19.9;1;0;0;0;0;0;0;1;0;0;NA;NA;larvae hypoth;no info on early diet/no info on ods
BLN;Telestes_souffia;20;max;2;0;0;0;1;0;1;1;1;0;Fishbase/LeGros2015;NA;NA;no info on early diet/no info on ods
TAN;Tinca_tinca;0;22.1;1;0;0;0;0;0;0;1;0;0;Copp1993;Copp1993;minimum size hypoth;OK/maybe detritivorous
TAN;Tinca_tinca;22.2;max;2;0;0;0;0;0;0;1;1;0;Copp1993;NA;NA;OK/maybe detritivorous
BRO;Esox_lucius;0;20.0;1;0;0;0;0;0;0;1;0;0;Ziliukiene2006;Ziliukiene2006;maximum size;OK
BRO;Esox_lucius;20.1;max;2;0;0;0;0;0;0;0;0;1;Ziliukiene2006;NA;NA;NA
EPI;Gasterosteus_aculeatus;0;max;1;0;0;0;0;0;0;1;1;0;Fishbase/Hynes1950;Fishbase/Hynes1950;litterature;no ods
EPT;Pungitius_pungitius;0;max;1;0;0;0;0;0;0;1;1;0;Hynes1950;Hynes1950;litterature;no ods
PCH;Ameiurus_melas;0;19.9;1;0;0;0;0;0;0;1;0;0;NA;NA;larvae hypoth;no info on early diet/no info on LJ ods
PCH;Ameiurus_melas;20.0;99.9;2;0;1;0;1;0;0;1;0;0;Leunda2008;Leunda2008;litterature;OK
PCH;Ameiurus_melas;100.0;max;3;0;1;0;1;0;0;1;0;1;Leunda2008;NA;NA;OK
LOT;Lota_lota;0;19.9;1;0;0;0;0;0;0;1;0;0;Nunn2012;Nunn2012;larvae hypoth;no info on LJ ods
LOT;Lota_lota;20.0;99.9;2;0;0;0;0;0;0;0;1;0;Nunn2012;Mittelbach1998/Amundsen2003;litterature;OK
LOT;Lota_lota;100.0;399.9;3;0;0;0;0;0;0;0;1;1;Amundsen2003/Nunn2012;Amundsen2003;litterature;OK
LOT;Lota_lota;400.0;max;4;0;0;0;0;0;0;0;0;1;Amundsen2003;NA;NA;OK
GRE;Gymnocephalus_cernua;0;10;1;0;0;0;0;0;0;1;0;0;Rezsu2006;Rezsu2006;litterature;OK
GRE;Gymnocephalus_cernua;11;30.0;2;0;0;0;0;0;0;1;1;0;Rezsu2006;Rezsu2006/Specziar2009;litterature;OK
GRE;Gymnocephalus_cernua;31;max;3;0;0;0;0;0;0;0;1;0;Rezsu2006;NA;NA;OK
PES;Lepomis_gibbosus;0;30.0;1;0;0;0;0;0;0;1;0;0;Specziar2009;Specziar2009;litterature;OK
PES;Lepomis_gibbosus;31.0;120;2;0;0;0;0;0;0;1;0;0;Specziar2009;Specziar2009;litterature;OK/eats planktonic chironomids
PES;Lepomis_gibbosus;121.0;max;3;0;0;0;0;0;0;0;1;0;Specziar2009/Declerck2002;NA;NA;OK
BBG;Micropterus_salmoides;0;49.9;1;0;0;0;0;0;0;1;0;0;Nunn2012/Berthou2002;Berthou2002/Godinho1997/Nunn2012/Mittelbach1998;litterature;OK
BBG;Micropterus_salmoides;50.0;max;2;0;0;0;0;0;0;0;1;1;Nunn2012/Berthou2002/Godinho1997;NA;NA;OK
PER;Perca_fluviatilis;0;20.0;1;0;0;0;0;0;0;1;0;0;Specziar2009;Specziar2009;litterature;OK
PER;Perca_fluviatilis;21.0;80;2;0;0;0;0;0;0;1;1;0;Specziar2009;Specziar2009;litterature;OK
PER;Perca_fluviatilis;81;120;3;0;0;0;0;0;0;0;1;0;Specziar2009;Persson1998/Mittelbach1998/Estlander2010;minimum size hypoth;OK
PER;Perca_fluviatilis;121;max;4;0;0;0;0;0;0;0;0;1;Persson1998;NA;NA;OK
SAN;Stizostedion_lucioperca;0;40;1;0;0;0;0;0;0;1;0;0;Specziar2009;Specziar2009/Mittelbach1998;litterature;OK
SAN;Stizostedion_lucioperca;41;100;2;0;0;0;0;0;0;0;1;1;Specziar2009;Specziar2009;litterature;OK
SAN;Stizostedion_lucioperca;100;max;3;0;0;0;0;0;0;0;0;1;Specziar2009;NA;NA;OK
APR;Zingel_asper;0;19.9;1;0;0;0;0;0;0;1;0;0;Denis-Remis2000;NA;larvae hypoth;no info on ods
APR;Zingel_asper;20.0;max;2;0;0;0;0;0;0;0;1;0;Denis-Remis2000;NA;NA;no info on ods
GAM;Gambusia_affinis;0;19.9;1;0;0;0;0;0;1;1;0;0;Blanco2004;Blanco2004;larvae hypoth;no info on shift size
GAM;Gambusia_affinis;20.0;max;2;0;0;0;1;0;1;1;0;0;Blanco2004;NA;NA;no info on shift size
TAC;Oncorhynchus_mykiss;0;19.9;1;0;0;0;0;0;0;1;0;0;NA;NA;larvae hypoth;no info on shift size/no info on larvae diet
TAC;Oncorhynchus_mykiss;20;149.9;2;0;0;0;0;0;0;1;1;0;Elliott1973;Andrusak1984;minimum size hypoth;OK
TAC;Oncorhynchus_mykiss;150.0;399.9;3;0;0;0;0;0;0;1;1;1;Andrusak1984;Andrusak1984;maximum size hypoth;OK
TAC;Oncorhynchus_mykiss;400;max;4;0;0;0;0;0;0;0;1;1;Andrusak1984;NA;NA;OK
OBL;Salvelinus_alpinus;0;99;1;0;0;0;0;0;0;0;1;0;Sparholt1985/Nunn2012;Sparholt1985;minimum size hypoth;OK
OBL;Salvelinus_alpinus;100.0;149.0;2;0;0;0;0;0;0;1;1;0;Sparholt1985/Nunn2012;Sparholt1985/Mittelbach1998;minimum size hypoth;OK
OBL;Salvelinus_alpinus;150.0;449;3;0;0;0;0;0;0;1;1;1;Sparholt1985;Sparholt1985;maximum size hypoth/minimum size hypoth;OK
OBL;Salvelinus_alpinus;449;max;4;0;0;0;0;0;0;0;0;1;Sparholt1985;NA;NA;OK
SDF;Salvelinus_fontinalis;0;19.9;1;0;0;0;0;0;0;1;0;0;NA;NA;larvae hypoth;no info on shift size/no info on larvae diet
SDF;Salvelinus_fontinalis;20.0;249.9;2;0;0;0;0;0;0;1;1;0;Cavalli1997;Spares2014;litterature;OK
SDF;Salvelinus_fontinalis;250.0;max;3;0;0;0;0;0;0;1;1;1;Spares2014/Cavalli1997;NA;NA;OK
OBR;Thymallus_thymallus;0;max;1;0;1;0;0;0;0;1;1;0;Nunn2012/Hellawell1971;Hellawell1971;litterature;no ods
TRF;Trutta_fario;0;149.9;1;0;0;0;0;0;0;1;1;0;Jensen2012;Labbe-lund1992;litterature;OK/eats zoopellagos/no info on early diet
TRF;Trutta_fario;150.0;299.9;2;0;0;0;0;0;0;1;1;1;Jensen2012;Jensen2012;maximum size hypoth;OK/eats zoopellagos
TRF;Trutta_fario;300.0;max;3;0;0;0;0;0;0;0;0;1;Jensen2012;NA;NA;OK
SIL;Silurus_glanis;0;49.9;1;0;0;0;0;0;0;1;1;0;Nunn2012/Carol2009;Copp2009;litterature;OK
SIL;Silurus_glanis;50.0;max;2;0;0;0;0;0;0;1;1;1;Copp2009/Carol2009/Nunn2012;NA;NA;OK
